"","ID","file","dataset","px-cm","genotype","node","base_x","base_y","tip_x","tip_y"
"1","PI_215542","PI_215542_Malus x robusta_1.jpg","apple","225.91","Malus x robusta",NA,"1334","3761","3765.167","3436.167"
"2","PI_215542","PI_215542_Malus x robusta_2.jpg","apple","225.91","Malus x robusta",NA,"1389","3671","3710","3387"
"3","PI_215542","PI_215542_Malus x robusta_3.jpg","apple","225.91","Malus x robusta",NA,"1602","3191","3517.167","3432.833"
"4","PI_215542","PI_215542_Malus x robusta_4.jpg","apple","225.91","Malus x robusta",NA,"1388.5","3559.5","3709.5","3514.5"
"5","PI_215542","PI_215542_Malus x robusta_5.jpg","apple","225.91","Malus x robusta",NA,"1454","3237","3644","3440.5"
"6","PI_215542","PI_215542_Malus x robusta_6.jpg","apple","225.91","Malus x robusta",NA,"2730","4466","2596.5","2550.5"
"7","PI_307500","PI_307500_Malus prunifolia_1.jpg","apple","225.91","Malus prunifolia",NA,"1406","3589","3689.833","3327.5"
"8","PI_307500","PI_307500_Malus prunifolia_2.jpg","apple","225.91","Malus prunifolia",NA,"1235","3440","3865.167","3479.5"
"9","PI_307500","PI_307500_Malus prunifolia_3.jpg","apple","225.91","Malus prunifolia",NA,"1402","3422","3697.75","3627"
"10","PI_307500","PI_307500_Malus prunifolia_4.jpg","apple","225.91","Malus prunifolia",NA,"1349","3390","3755.5","3477.5"
"11","PI_307500","PI_307500_Malus prunifolia_5.jpg","apple","225.91","Malus prunifolia",NA,"3883","3775","1216.5","3420.5"
"12","PI_307500","PI_307500_Malus prunifolia_6.jpg","apple","225.91","Malus prunifolia",NA,"3807","3630","1293.5","3543.5"
"13","PI_307500","PI_307500_Malus prunifolia_7.jpg","apple","225.91","Malus prunifolia",NA,"3856","3584","1247.5","3598.167"
"14","PI_307500","PI_307500_Malus prunifolia_8.jpg","apple","225.91","Malus prunifolia",NA,"3926","3413","1172.5","3631.833"
"15","PI_322713","PI_322713_Malus baccata_1.jpg","apple","225.91","Malus baccata",NA,"1339","3423","3571.5","3691.5"
"16","PI_322713","PI_322713_Malus baccata_2.jpg","apple","225.91","Malus baccata",NA,"1445.833","3167.833","3672.875","3851.5"
"17","PI_322713","PI_322713_Malus baccata_3.jpg","apple","225.91","Malus baccata",NA,"1274","3138","3837","3453"
"18","PI_322713","PI_322713_Malus baccata_4.jpg","apple","225.91","Malus baccata",NA,"1638.5","3753","3483.5","3622.25"
"19","PI_322713","PI_322713_Malus baccata_5.jpg","apple","225.91","Malus baccata",NA,"1638.5","3931","3474.5","3207.5"
"20","PI_322713","PI_322713_Malus baccata_6.jpg","apple","225.91","Malus baccata",NA,"1310","3617.5","3791.75","3610.875"
"21","PI_322713","PI_322713_Malus baccata_7.jpg","apple","225.91","Malus baccata",NA,"1407.75","3429.25","3692.75","3452.75"
"22","PI_337434","PI_337434_Malus prunifolia_1.jpg","apple","225.91","Malus prunifolia",NA,"1155","3290","3953.75","3716.375"
"23","PI_337434","PI_337434_Malus prunifolia_2.jpg","apple","225.91","Malus prunifolia",NA,"987","3556","4116.5","3673.167"
"24","PI_337434","PI_337434_Malus prunifolia_3.jpg","apple","225.91","Malus prunifolia",NA,"996.5","3629.5","4116.833","3653.667"
"25","PI_337434","PI_337434_Malus prunifolia_4.jpg","apple","225.91","Malus prunifolia",NA,"823.5","3543","4289.5","4030.5"
"26","PI_337434","PI_337434_Malus prunifolia_B_1.jpg","apple","225.91","Malus prunifolia",NA,"912","3187","4211.417","3456.417"
"27","PI_337434","PI_337434_Malus prunifolia_B_2.jpg","apple","225.91","Malus prunifolia",NA,"1160","3154","3957.833","3550.5"
"28","PI_337434","PI_337434_Malus prunifolia_B_3.jpg","apple","225.91","Malus prunifolia",NA,"1119.125","3072.125","4036.5","3221.667"
"29","PI_337434","PI_337434_Malus prunifolia_B_4.jpg","apple","225.91","Malus prunifolia",NA,"2663","4989","2810.5","2029.5"
"30","PI_344089","PI_344089_Malus floribunda_1.jpg","apple","225.91","Malus floribunda",NA,"1205.167","3562.833","3895.5","3554"
"31","PI_344089","PI_344089_Malus floribunda_2.jpg","apple","225.91","Malus floribunda",NA,"1216.25","3536.5","3890.75","3328"
"32","PI_344089","PI_344089_Malus floribunda_3.jpg","apple","225.91","Malus floribunda",NA,"3780.5","3566.167","1312.5","3466.167"
"33","PI_344089","PI_344089_Malus floribunda_4.jpg","apple","225.91","Malus floribunda",NA,"4288.5","3502.167","810.625","3361.625"
"34","PI_344089","PI_344089_Malus floribunda_5.jpg","apple","225.91","Malus floribunda",NA,"4027.5","3572.5","1071.5","3401.917"
"35","PI_344089","PI_344089_Malus floribunda_6.jpg","apple","225.91","Malus floribunda",NA,"4020.75","3629.5","1071.333","3650.833"
"36","PI_344089","PI_344089_Malus floribunda_7.jpg","apple","225.91","Malus floribunda",NA,"4017.5","3486.5","1076.75","3467.25"
"37","PI_392301","PI_392301_Malus baccata_1.jpg","apple","225.91","Malus baccata",NA,"1183.5","3538.375","3911.333","3272.833"
"38","PI_392301","PI_392301_Malus baccata_2.jpg","apple","225.91","Malus baccata",NA,"1098.667","3632.167","3992.833","3416.167"
"39","PI_392301","PI_392301_Malus baccata_3.jpg","apple","225.91","Malus baccata",NA,"928.583","3501.417","4171.75","3278.75"
"40","PI_392301","PI_392301_Malus baccata_4.jpg","apple","225.91","Malus baccata",NA,"797.25","3206.25","4309.375","3473.375"
"41","PI_392301","PI_392301_Malus baccata_5.jpg","apple","225.91","Malus baccata",NA,"937.833","3534.167","4163.5","3657.5"
"42","PI_392301","PI_392301_Malus baccata_B_1.jpg","apple","225.91","Malus baccata",NA,"915.167","3303.167","4176.75","3205.25"
"43","PI_392301","PI_392301_Malus baccata_B_2.jpg","apple","225.91","Malus baccata",NA,"1082.667","3920.917","4007.5","3091.583"
"44","PI_392301","PI_392301_Malus baccata_B_3.jpg","apple","225.91","Malus baccata",NA,"1169","4300","3958.833","3531.5"
"45","PI_392301","PI_392301_Malus baccata_B_4.jpg","apple","225.91","Malus baccata",NA,"1137.833","3472.5","3963.167","3592.833"
"46","PI_392301","PI_392301_Malus baccata_B_5.jpg","apple","225.91","Malus baccata",NA,"1013.5","3053","4101.5","3416.667"
"47","PI_483259","PI_483259_Malus baccata_1.jpg","apple","225.91","Malus baccata",NA,"826.5","3643","4278.833","2574.5"
"48","PI_483260","PI_483260_Malus prunifolia_1.jpg","apple","225.91","Malus prunifolia",NA,"3763.667","3527.833","1337.5","3696.5"
"49","PI_483260","PI_483260_Malus prunifolia_2.jpg","apple","225.91","Malus prunifolia",NA,"3992.5","3289","1104","3588.5"
"50","PI_483260","PI_483260_Malus prunifolia_B_1.jpg","apple","225.91","Malus prunifolia",NA,"971.875","3075.625","4130.5","3960"
"51","PI_483260","PI_483260_Malus prunifolia_B_2.jpg","apple","225.91","Malus prunifolia",NA,"1105.167","3525.5","3995.167","3671.167"
"52","PI_483260","PI_483260_Malus prunifolia_B_3.jpg","apple","225.91","Malus prunifolia",NA,"1136","3457","3964.5","3608.5"
"53","PI_483266","PI_483266_Malus floribunda_1.jpg","apple","225.91","Malus floribunda",NA,"1098","3646","4003.833","3369.667"
"54","PI_483266","PI_483266_Malus floribunda_2.jpg","apple","225.91","Malus floribunda",NA,"1173.5","3166.833","3935.5","3371.875"
"55","PI_483266","PI_483266_Malus floribunda_3.jpg","apple","225.91","Malus floribunda",NA,"1069","3332","4035","3546"
"56","PI_483266","PI_483266_Malus floribunda_4.jpg","apple","225.91","Malus floribunda",NA,"1245","3175","3864.833","3522.5"
"57","PI_483266","PI_483266_Malus floribunda_B_1.jpg","apple","225.91","Malus floribunda",NA,"1232","3544.5","3869.5","3366.75"
"58","PI_483266","PI_483266_Malus floribunda_B_2.jpg","apple","225.91","Malus floribunda",NA,"1100","3693.5","4000.5","3333.833"
"59","PI_483266","PI_483266_Malus floribunda_B_3.jpg","apple","225.91","Malus floribunda",NA,"1182.5","3368.5","3920.5","3581"
"60","PI_483266","PI_483266_Malus floribunda_B_4.jpg","apple","225.91","Malus floribunda",NA,"1066.5","3379.167","4033.5","3642"
"61","PI_483266","PI_483266_Malus floribunda_B_5.jpg","apple","225.91","Malus floribunda",NA,"1556.333","3705.667","3552.167","3495.667"
"62","PI_588761","PI_588761_Malus sargentii_1.jpg","apple","225.91","Malus sargentii",NA,"1377","3736","3723.167","3679.167"
"63","PI_588761","PI_588761_Malus sargentii_2.jpg","apple","225.91","Malus sargentii",NA,"1478","3760.5","3624.5","3454.167"
"64","PI_588761","PI_588761_Malus sargentii_3.jpg","apple","225.91","Malus sargentii",NA,"1501.75","3298.75","3600.167","3254.167"
"65","PI_588761","PI_588761_Malus sargentii_4.jpg","apple","225.91","Malus sargentii",NA,"1611.833","3663.833","3491.167","3576.167"
"66","PI_588761","PI_588761_Malus sargentii_5.jpg","apple","225.91","Malus sargentii",NA,"1467.833","3506.5","3631.25","3644.5"
"67","PI_588765","PI_588765_Malus baccata_1.jpg","apple","225.91","Malus baccata",NA,"1168.667","4020.667","3941.25","3850"
"68","PI_588765","PI_588765_Malus baccata_2.jpg","apple","225.91","Malus baccata",NA,"938","2852.25","4170.167","3696.667"
"69","PI_588765","PI_588765_Malus baccata_3.jpg","apple","225.91","Malus baccata",NA,"989.5","3674.833","4104.75","3428.5"
"70","PI_588765","PI_588765_Malus baccata_4.jpg","apple","225.91","Malus baccata",NA,"875.833","3500.167","4233","3440.5"
"71","PI_588765","PI_588765_Malus baccata_5.jpg","apple","225.91","Malus baccata",NA,"2676.375","1733","2574.5","5303"
"72","PI_588770","PI_588770_Malus sargentii_1.jpg","apple","225.91","Malus sargentii",NA,"1632.5","3428.167","3462.667","3704.583"
"73","PI_588770","PI_588770_Malus sargentii_2.jpg","apple","225.91","Malus sargentii",NA,"1643.583","3715.833","3456.333","3603.417"
"74","PI_588770","PI_588770_Malus sargentii_3.jpg","apple","225.91","Malus sargentii",NA,"1656.667","3659.583","3434.875","3804.458"
"75","PI_588770","PI_588770_Malus sargentii_4.jpg","apple","225.91","Malus sargentii",NA,"1586.75","3394.25","3515.5","3424.833"
"76","PI_588770","PI_588770_Malus sargentii_5.jpg","apple","225.91","Malus sargentii",NA,"1525.625","3564.375","3577.375","3400.5"
"77","PI_588770","PI_588770_Malus sargentii_6.jpg","apple","225.91","Malus sargentii",NA,"1594.625","3498.375","3501.833","3558.333"
"78","PI_588770","PI_588770_Malus sargentii_7.jpg","apple","225.91","Malus sargentii",NA,"1635.875","3478.438","3465.469","3570.219"
"79","PI_588770","PI_588770_Malus sargentii_8.jpg","apple","225.91","Malus sargentii",NA,"1559.667","3680.083","3539.542","3594.125"
"80","PI_588770","PI_588770_Malus sargentii_9.jpg","apple","225.91","Malus sargentii",NA,"1588.583","3473.667","3510.031","3467.5"
"81","PI_588782","PI_588782_Malus sargentii_1.jpg","apple","225.91","Malus sargentii",NA,"1555.5","3606.833","3545.417","3416.583"
"82","PI_588782","PI_588782_Malus sargentii_10.jpg","apple","225.91","Malus sargentii",NA,"1712.5","3621.125","3387.5","3628.031"
"83","PI_588782","PI_588782_Malus sargentii_11.jpg","apple","225.91","Malus sargentii",NA,"1736.167","3445.5","3365.667","3708.333"
"84","PI_588782","PI_588782_Malus sargentii_2.jpg","apple","225.91","Malus sargentii",NA,"1731.5","3435.917","3373.531","3518.375"
"85","PI_588782","PI_588782_Malus sargentii_3.jpg","apple","225.91","Malus sargentii",NA,"1669.5","3620","3430.469","3495.969"
"86","PI_588782","PI_588782_Malus sargentii_4.jpg","apple","225.91","Malus sargentii",NA,"1753.438","3587.25","3348.5","3564.406"
"87","PI_588782","PI_588782_Malus sargentii_5.jpg","apple","225.91","Malus sargentii",NA,"1709.333","3382.5","3392","3564.5"
"88","PI_588782","PI_588782_Malus sargentii_6.jpg","apple","225.91","Malus sargentii",NA,"1691.167","3224.5","3394.667","3388"
